Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
2.157941,-5.324876862,28.28443222,10.02525238,30.47735397
2.16775,-4.630919952,26.33847885,9.931547241,28.527119
2.177558,-4.210893402,25.18976761,9.646988983,27.30055699
2.187368,-3.594924316,23.53795258,8.887318726,25.4154112
2.197177,-2.803370361,21.53856033,7.722441101,23.05221385
2.206983,-1.900747375,19.52165451,6.9912117,20.82270099
2.216793,-1.052461395,17.466129,6.438261566,18.64469225
2.2266,-0.465082855,15.37467819,6.137387238,16.56093457
2.236407,-0.151335297,13.38022568,5.814658356,14.58984556
2.246218,0.085621948,11.56524994,5.304369507,12.72394094
2.256025,0.347427521,9.960437164,4.64993042,10.9978574
2.265833,0.571661224,8.511600037,3.77934082,9.330463481
2.275641,0.599503326,7.353159027,3.280428314,8.074005316
2.285447,0.619860992,6.415658569,2.872376862,7.056589216
2.29526,0.593066711,5.636229401,2.487976227,6.189413194
2.305067,0.596509552,4.982838135,2.1459375,5.457980146
2.314875,0.569116516,4.274960175,1.770218811,4.661850785
2.324683,0.564176788,3.603606262,1.312021637,3.876296469
2.334492,0.484991455,3.104843445,0.99572937,3.296474861
2.3443,0.330363007,2.638263702,1.007255402,2.843261951
2.35411,0.328866119,2.277962952,1.248852997,2.618568682
2.363919,0.317789154,2.092348938,1.433868256,2.556343521
2.373727,0.266894989,2.230062561,1.609752502,2.763279769
2.383536,0.042511597,2.477198639,1.763782196,3.041257629
2.393345,-0.079335022,2.643652496,1.919458466,3.267952473
2.403156,-0.052840118,2.732717285,1.920206909,3.340318909
2.412949,-0.260009308,3.14046936,1.826801147,3.642438068
2.422773,-0.692160645,3.943249969,1.980082397,4.466434034
2.432582,-1.157692566,4.600982208,2.133363647,5.201973646
2.442391,-1.380279694,4.870571594,2.153421936,5.501351263
2.4522,-1.319356384,4.984035645,2.116598511,5.573266711
2.462004,-1.485061798,5.322930908,2.098037109,5.911071114
2.471816,-1.622476044,5.591322784,2.167193298,6.212249656
2.481624,-1.844763794,5.218747559,2.373314667,6.022549464
2.491433,-1.851799164,5.326673126,2.568209381,6.196636681
2.501243,-2.043999481,6.403084717,2.955454102,7.342488455
2.511052,-2.268981628,5.971981201,2.546654205,6.877374844
2.520861,-2.236199799,5.097799072,2.344574432,6.040295869
2.53067,-2.178270264,4.602928162,2.108066254,5.511420174
2.54048,-2.445015564,4.443509674,1.883383484,5.41017677
2.550288,-3.124003601,4.323309631,2.163600769,5.75600321
2.560097,-4.090244293,4.324058075,2.685116272,6.529733992
2.569905,-4.764741669,4.295168152,2.935844879,7.054815219
2.579715,-5.072801056,3.960015106,2.863994293,7.043968591
2.589524,-5.147046661,3.575464783,2.782563629,6.857018164
2.599333,-4.606520691,3.240910492,2.567610626,6.190004687
2.609142,-3.97363678,3.106040955,2.104024658,5.464814675
2.618952,-3.495680695,3.121608582,1.896256714,5.055691167
2.628761,-2.724933472,3.070864105,1.851350098,4.503661395
2.638571,-2.139949951,2.96727951,1.838925934,4.09460402
2.648381,-1.941013641,3.040477295,2.038460999,4.143351226
2.65819,-2.102078705,2.945874023,2.723586273,4.529330064
2.667999,-2.339784393,3.481759644,3.34180069,5.363289389
2.677807,-2.658771057,4.672982483,3.643124084,6.494473182
2.687616,-2.95919632,5.859714661,3.976929932,7.675224456
2.697424,-3.245999908,6.662345581,4.672084351,8.760806825
2.707233,-3.442541199,7.109016724,5.300926666,9.512572323
2.717042,-3.498973846,7.631729736,5.472020874,10.02143349
2.726851,-3.638483734,8.420589294,5.662574615,10.78005748
2.73666,-4.084256744,9.659712524,6.037544861,12.10136964
2.746469,-4.660258942,11.09088638,6.394702148,13.62416932
2.756278,-5.182522888,12.46383133,6.656956787,15.05060492
2.766083,-5.773044891,13.6837944,7.191644897,16.50133428
2.775896,-6.652915192,14.93743744,7.777376862,18.10734405
2.785704,-7.274123383,15.70998093,8.455915833,19.2670414
2.795515,-7.642657013,16.38792114,8.876541138,20.14366273
2.805324,-7.712411957,16.84686676,9.216484222,20.69400394
2.815134,-7.429949341,16.92665085,9.27755722,20.68305403
2.824943,-7.016060028,17.07873459,9.076525269,20.57405124
